Channel 5,Channel 3,Channel 4,Channel 2
0.7874,0.6764,0.7524,0.7736
0.8169,0.6988,0.7584,0.7779
0.8206,0.8304,0.79,0.7837
0.8508,0.848,0.8663,0.7993
0.8664,0.8586,0.8744,0.8141
0.8687,0.8587,0.7592,0.855
0.7964,0.8711,0.7836,0.8607
0.8305,0.8739,0.8153,0.874
0.8325,0.8804,0.8156,0.919
0.8578,0.8813,0.8251,0.7682
0.8777,0.8846,0.8329,0.7721
0.7107,0.8892,0.869,0.7726
0.7431,0.8946,0.7666,0.7735
0.7732,0.9093,0.7819,0.7821
0.7909,0.9155,0.8157,0.7972
0.7934,0.916,0.8492,0.8119
0.8088,0.9232,0.8627,0.8515
0.8127,0.6783,0.7989,0.858
0.8413,0.6994,0.8066,0.869
0.8543,0.8281,0.8084,0.8697
0.858,0.8369,0.8114,0.8736
0.8602,0.8468,0.8138,0.8753
0.6964,0.8548,0.8138,0.9153
0.7196,0.8567,0.8165,0.772
0.723,0.8572,0.8166,0.7908
0.8029,0.8677,0.8191,0.8019
0.8053,0.8695,0.8219,0.8167
0.8088,0.8751,0.823,0.8424
0.8171,0.8829,0.8364,0.8533
0.8228,0.8853,0.8395,0.8613
0.834,0.8901,0.849,0.8839
0.8408,0.8909,0.8746,0.8896
0.8481,0.9155,0.8803,0.8899
0.8481,0.9166,0.889,0.8903
0.852,0.9247,0.7658,0.891
0.8542,0.6976,0.7808,0.8932
0.8595,0.7663,0.7857,0.8487
0.8643,0.8322,0.7894,0.8644
0.8712,0.8532,0.8044,0.8667
0.8739,0.8541,0.8054,0.8684
0.9071,0.8592,0.812,0.9035
0.774,0.8601,0.8138,0.9825
0.7968,0.8805,0.8152,1.011
0.8005,0.8844,0.8498,0.81
0.8066,0.8952,0.8702,0.8499
0.8092,0.8978,0.8732,0.8517
0.8267,0.6922,0.885,0.8766
0.8329,0.7663,0.78,0.878
0.8506,0.8069,0.8029,0.8861
0.8579,0.8684,0.8168,0.8906
0.8603,0.8798,0.831,0.8965
0.8683,0.7076,0.8413,0.9016
0.877,0.8376,0.8463,0.9213
0.6757,0.8391,0.8493,0.9249
0.7773,0.8532,0.7511,0.9488
0.807,0.8585,0.7656,0.7778
0.8107,0.8659,0.7738,0.7897
0.8125,0.8746,0.7816,0.8248
0.8175,0.8805,0.7889,0.8316
0.8332,0.8973,0.8294,0.8513
0.8559,0.7067,0.833,0.8545
0.8592,0.7298,0.8331,0.8569
0.8626,0.7688,0.8439,0.8603
0.8662,0.7873,0.8457,0.8629
0.8367,0.8214,0.8546,0.8631
0.8463,0.8312,0.7607,0.8851
0.864,0.8378,0.7884,0.8922
0.8664,0.8688,0.7972,0.9019
0.8696,0.8815,0.8046,0.9063
0.8872,0.8935,0.8122,0.9156
0.9044,0.5723,0.8444,0.6919
0.9178,0.7714,0.8445,0.7763
0.8238,0.7843,0.7239,0.8087
0.8565,0.8034,0.7617,0.8133
0.8614,0.8477,0.7897,0.8145
0.8719,0.8548,0.798,0.8386
0.8748,0.5708,0.8057,0.8489
0.8788,0.7853,0.8093,0.8513
0.8942,0.7962,0.8118,0.855
0.9165,0.8258,0.8136,0.8635
0.6984,0.8297,0.8352,0.8662
0.7493,0.8424,0.8364,0.8739
0.7976,0.8477,0.8513,0.8748
0.8001,0.8519,0.8542,0.879
0.8397,0.8551,0.9382,0.9151
0.8981,0.8554,0.7482,0.7701
0.8999,0.8563,0.7556,0.81
0.9182,0.8575,0.7957,0.8124
0.9267,0.8622,0.7969,0.8145
0.9549,0.8684,0.8139,0.8147
0.9886,0.8694,0.8255,0.8303
0.8497,0.877,0.8293,0.8471
0.9117,0.8779,0.8922,0.8501
0.9163,0.8785,0.9311,0.8627
NA,0.885,0.7319,0.8633
NA,0.8943,0.7587,0.873
NA,0.9309,0.7709,0.9118
NA,0.6004,0.7848,0.978
NA,0.6706,0.7953,0.7433
NA,0.6828,0.8259,0.7488
NA,0.7342,0.8447,0.776
NA,0.7934,0.8573,0.7968
NA,0.8041,0.8685,0.8264
NA,0.8171,0.8777,0.8301
NA,0.8211,0.718,0.8457
NA,0.824,0.7746,0.8474
NA,0.834,0.7768,0.8541
NA,0.8385,0.7796,0.8566
NA,0.845,0.803,0.8607
NA,0.8498,0.8205,0.8615
NA,0.8512,0.8213,0.8684
NA,0.8526,0.8287,0.8743
NA,0.8537,0.8368,0.719
NA,0.856,0.8467,0.7215
NA,0.857,0.8486,0.7712
NA,0.8613,0.8534,0.7933
NA,0.8655,0.8586,0.816
NA,0.8656,0.8617,0.8418
NA,0.8675,0.862,0.846
NA,0.8675,0.8643,0.8491
NA,0.8715,0.8662,0.8518
NA,0.8746,0.8741,0.8602
NA,0.8764,0.8191,0.8718
NA,0.8779,0.7192,0.7174
NA,0.8791,0.803,0.7204
NA,0.8826,0.8205,0.7691
NA,0.8844,0.8213,0.7941
NA,0.8881,0.8287,0.8163
NA,0.8883,0.8368,0.8195
NA,0.8969,NA,0.8394
NA,0.9003,NA,0.8718
NA,0.9017,NA,0.7054
NA,0.9309,NA,0.7846
NA,0.8287,NA,0.7852
NA,0.8377,NA,0.7916
NA,0.8434,NA,0.8013
NA,0.8512,NA,0.8023
NA,0.8597,NA,0.8128
NA,0.8649,NA,0.8236
NA,0.8655,NA,0.8288
NA,0.8667,NA,0.8315
NA,0.8717,NA,0.8341
NA,0.8862,NA,0.8492
NA,0.9284,NA,0.8565
NA,0.7645,NA,0.8589
NA,0.8309,NA,0.8628
NA,0.8321,NA,0.8748
NA,0.8589,NA,0.8784
NA,0.8718,NA,0.7828
NA,0.8719,NA,0.7962
NA,0.8748,NA,0.812
NA,0.7624,NA,0.8257
NA,0.828,NA,0.8338
NA,0.8387,NA,0.8437
NA,0.857,NA,0.8476
NA,0.859,NA,0.85
NA,0.8684,NA,0.8548
NA,0.8702,NA,0.8568
NA,0.8715,NA,0.8703
NA,0.8931,NA,0.8786
NA,0.8996,NA,0.7805
NA,0.9121,NA,0.7806
NA,0.8199,NA,0.791
NA,0.8225,NA,0.7935
NA,0.8277,NA,0.8021
NA,0.8334,NA,0.8065
NA,0.8529,NA,0.8201
NA,0.8572,NA,0.8263
NA,0.862,NA,0.8316
NA,0.8633,NA,0.8338
NA,0.8641,NA,0.8477
NA,0.8658,NA,0.8559
NA,0.8682,NA,0.8599
NA,0.8711,NA,0.8631
NA,0.906,NA,0.8732
NA,0.7954,NA,0.879
NA,0.8158,NA,0.8081
NA,0.8269,NA,0.7879
NA,0.8272,NA,0.8367
NA,0.8397,NA,0.7664
NA,0.8429,NA,0.779
NA,0.8458,NA,0.8053
NA,0.8566,NA,0.8167
NA,0.8587,NA,0.8366
NA,0.8605,NA,0.8373
NA,0.8628,NA,0.8408
NA,0.8653,NA,0.8424
NA,0.8728,NA,0.847
NA,0.8764,NA,0.8556
NA,0.8799,NA,0.7704
NA,0.8802,NA,0.7784
NA,0.8917,NA,0.807
NA,0.8962,NA,0.8235
NA,0.6043,NA,0.831
NA,0.7931,NA,0.8365
NA,0.8258,NA,0.8417
NA,0.8284,NA,0.8432
NA,0.8332,NA,0.8433
NA,0.8444,NA,0.8457
NA,0.8457,NA,0.8496
NA,0.8502,NA,0.8563
NA,0.8586,NA,0.8609
NA,0.8602,NA,0.8645
NA,0.8606,NA,0.8736
NA,0.8637,NA,0.8764
NA,0.8661,NA,0.7017
NA,0.8698,NA,0.7686
NA,0.8714,NA,0.7883
NA,0.8741,NA,0.7957
NA,0.8764,NA,0.7968
NA,0.8788,NA,0.8011
NA,0.8792,NA,0.8211
NA,0.8834,NA,0.8221
NA,0.8851,NA,0.8284
NA,0.8919,NA,0.8291
NA,0.8938,NA,0.8319
NA,0.9415,NA,0.8353
NA,0.7551,NA,0.8411
NA,0.8186,NA,0.842
NA,0.8202,NA,0.8452
NA,0.8262,NA,0.8471
NA,0.8265,NA,0.849
NA,0.8476,NA,0.8573
NA,0.8499,NA,0.8625
NA,0.8504,NA,0.8645
NA,0.8614,NA,0.8728
NA,0.8627,NA,0.8771
NA,0.8643,NA,0.8785
NA,0.8694,NA,0.8787
NA,0.8855,NA,0.9042
NA,0.902,NA,0.9051
